관리번호,설치목적구분,카메라대수,도로명주소,위도,경도,행정동코드,행정동,자치구,보정구분,보정거리_m
202630100000800043,생활방범,3,서울특별시 중구 태평로1가2-2,37.56895,126.97734,11020550.0,명동,중구,원본정상,
202630100000800044,생활방범,2,서울특별시 중구 신당동296-15,37.56056,127.01346,11020690.0,신당동,중구,원본정상,
202630100000800917,생활방범,2,서울특별시 중구 장충단로7길 21-7,37.56214,127.0051,11020580.0,장충동,중구,원본정상,
202630100000800918,생활방범,2,서울특별시 중구 장충단로 8길 51-3,37.56237,127.00943,11020580.0,장충동,중구,원본정상,
202630100000800919,생활방범,2,서울특별시 중구 동호로 313-22,37.56259,127.00156,11020580.0,장충동,중구,원본정상,
202630100000800920,생활방범,2,서울특별시 중구 장충단로6길54,37.5604,127.0091,11020580.0,장충동,중구,원본정상,
202630100000800092,생활방범,4,서울특별시 중구 금호산15길 15,37.55333,127.0168,11040720.0,금호2·3가동,성동구,원본정상,
202630100000800093,생활방범,4,,37.54703,127.00899,11020710.0,약수동,중구,원본정상,
202630100000800094,생활방범,4,,37.54703,127.00899,11020710.0,약수동,중구,원본정상,
202630100000800095,생활방범,4,,37.54525,127.00638,11020710.0,약수동,중구,원본정상,
202630100000800096,생활방범,4,서울특별시 중구 서소문로11길 35,37.5645,126.9727,11020520.0,소공동,중구,원본정상,
202630100000800097,생활방범,4,서울특별시 중구 서소문로11길 35,37.5643,126.9723,11020520.0,소공동,중구,원본정상,
202630100000800098,생활방범,4,서울특별시 중구 소월로50,37.5553,126.975,11020540.0,회현동,중구,원본정상,
202630100000800099,생활방범,4,서울특별시 중구 소월로50,37.5552,126.9749,11020540.0,회현동,중구,원본정상,
202630100000800100,생활방범,4,서울특별시 중구 서소문로2길34,37.5568,126.9641,11020680.0,중림동,중구,원본정상,
202630100000800101,생활방범,4,서울특별시 중구 서소문로2길34,37.5568,126.9639,11020680.0,중림동,중구,원본정상,
202630100000800102,생활방범,4,서울특별시 중구 서소문로2길34,37.5573,126.9631,11140770.0,공덕동,마포구,원본정상,
202630100000800306,생활방범,4,서울특별시 중구 퇴계로8길 65-8,37.55678,126.98058,11020540.0,회현동,중구,원본정상,
202630100000800307,생활방범,1,서울특별시 중구 퇴계로8길 49-17,37.55713,126.98076,11020540.0,회현동,중구,원본정상,
202630100000800308,생활방범,2,서울특별시 중구 퇴계로12길 62-22,37.55686,126.98086,11020540.0,회현동,중구,원본정상,
202630100000800309,생활방범,1,서울특별시 중구 남대문로5가 9-2,37.55738,126.97177,11020540.0,회현동,중구,원본정상,
202630100000800310,생활방범,1,서울특별시 중구 남대문로5가 9-2,37.55755,126.97203,11020540.0,회현동,중구,원본정상,
202630100000800311,생활방범,1,서울특별시 중구 남대문로 39,37.56169,126.98049,11020520.0,소공동,중구,원본정상,
202630100000800312,생활방범,1,서울특별시 중구 남대문로 39,37.56133,126.98067,11020540.0,회현동,중구,원본정상,
202630100000800313,생활방범,4,서울특별시 중구 퇴계로6길 24,37.55725,126.9787,11020540.0,회현동,중구,원본정상,
202630100000800314,생활방범,4,서울특별시 중구 후암로 58길 13,37.55434,126.9746,11020540.0,회현동,중구,원본정상,
202630100000800254,생활방범,4,서울특별시 중구 남대문로 109,37.5668,126.9825,11020550.0,명동,중구,원본정상,
202630100000800255,생활방범,5,서울특별시 중구 남대문로1가 27-1,37.5667,126.9828,11020550.0,명동,중구,원본정상,
202630100000800256,생활방범,4,,37.56859,126.97676,11020550.0,명동,중구,원본정상,
202630100000800257,생활방범,5,서울특별시 중구 세종대로 119,37.56708,126.9768,11020550.0,명동,중구,원본정상,
